Date,BANK,GOLD,NIFTY,SILVER
2020-04-01,215.3300018310547,42.56999969482422,104.18000030517578,
2020-05-01,193.67999267578125,40.9900016784668,101.37999725341795,
2020-06-01,215.41000366210935,42.61000061035156,109.5199966430664,
2020-07-01,217.88999938964844,47.13999938964844,118.0199966430664,
2020-08-01,239.57000732421875,45.34000015258789,121.02999877929688,
2020-09-01,215.94000244140625,44.18000030517578,119.93000030517578,
2020-10-01,240.6499938964844,44.31999969482422,124.56999969482422,
2020-11-01,297.0599975585937,42.84000015258789,138.3800048828125,
2020-12-01,313.5400085449219,43.75,149.07000732421875,
2021-01-01,307.0599975585937,42.650001525878906,146.10000610351562,
2021-02-01,351.260009765625,40.25,156.14999389648438,
2021-03-01,334.92999267578125,38.16999816894531,157.16000366210938,
2021-04-01,328.4700012207031,40.59000015258789,157.0,
2021-05-01,356.1199951171875,42.59000015258789,166.7899932861328,
2021-06-01,350.2900085449219,40.52000045776367,169.1300048828125,
2021-07-01,348.2900085449219,41.91999816894531,169.69000244140625,
2021-08-01,367.1600036621094,40.83000183105469,184.5500030517578,
2021-09-01,377.4599914550781,39.720001220703125,190.1100006103516,
2021-10-01,394.6199951171875,41.5,191.16000366210935,
2021-11-01,359.6099853515625,41.5099983215332,183.6999969482422,
2021-12-01,357.510009765625,41.47999954223633,187.7899932861328,
2022-01-01,382.8999938964844,41.25,187.6300048828125,
2022-02-01,364.8900146484375,43.59000015258789,181.83999633789065,
2022-03-01,365.510009765625,44.119998931884766,188.8699951171875,66.30000305175781
2022-04-01,363.8200073242188,44.790000915527344,185.42999267578125,64.56999969482422
2022-05-01,357.6199951171875,43.95000076293945,179.8699951171875,61.33000183105469
2022-06-01,337.3399963378906,43.7599983215332,171.60000610351562,58.970001220703125
2022-07-01,378.0400085449219,44.060001373291016,186.5399932861328,57.400001525878906
2022-08-01,399.9500122070313,43.900001525878906,193.9199981689453,54.36000061035156
2022-09-01,391.0499877929688,43.15999984741211,186.8300018310547,56.119998931884766
2022-10-01,417.25,43.22999954223633,196.2700042724609,57.11000061035156
2022-11-01,436.9299926757813,45.09999847412109,204.6999969482422,61.31999969482422
2022-12-01,435.4800109863281,46.790000915527344,198.0399932861328,67.2300033569336
2023-01-01,412.3800048828125,48.66999816894531,193.44000244140625,66.9800033569336
2023-02-01,408.05999755859375,47.40999984741211,189.6999969482422,62.47999954223633
2023-03-01,410.5499877929688,51.06999969482422,189.8600006103516,70.66999816894531
2023-04-01,436.6000061035156,51.25,197.2899932861328,73.08000183105469
2023-05-01,448.75,51.130001068115234,203.66000366210935,70.18000030517578
2023-06-01,454.4800109863281,49.310001373291016,210.6100006103516,67.56999969482422
2023-07-01,464.5199890136719,50.65999984741211,217.5800018310547,72.68000030517578
2023-08-01,449.2000122070313,50.34999847412109,212.7700042724609,73.29000091552734
2023-09-01,454.4200134277344,49.290000915527344,216.75,70.55999755859375
2023-10-01,437.510009765625,52.060001373291016,210.97999572753903,71.04000091552734
2023-11-01,453.8200073242188,53.150001525878906,222.1300048828125,74.61000061035156
2023-12-01,492.4299926757813,53.65999984741211,239.6499938964844,72.18000030517578
2024-01-01,468.760009765625,53.34999847412109,240.25999450683597,70.58999633789062
2024-02-01,471.0,52.77999877929688,243.25,68.29000091552734
2024-03-01,480.0982055664063,56.93239974975586,247.01980590820312,72.69329833984375
2024-04-01,502.3800048828125,60.880001068115234,250.05999755859372,78.55999755859375
2024-05-01,502.5,61.290000915527344,251.1499938964844,90.5999984741211
2024-06-01,537.2000122070312,60.630001068115234,267.4800109863281,85.9000015258789
2024-07-01,528.9400024414062,58.68000030517578,277.75,81.83999633789062
2024-08-01,526.72998046875,60.65999984741211,281.0799865722656,83.06999969482422
2024-09-01,544.780029296875,63.54999923706055,288.3800048828125,88.04000091552734
2024-10-01,529.6400146484375,66.91999816894531,270.6400146484375,94.2699966430664
2024-11-01,533.5999755859375,64.29000091552734,269.8800048828125,86.91999816894531
2024-12-01,522.7899780273438,64.08999633789062,264.4700012207031,83.7300033569336
2025-01-01,508.3800048828125,69.08000183105469,263.0,90.66999816894533
2025-02-01,496.7200012207031,71.0999984741211,248.4499969482422,90.45999908447266
2025-03-01,528.989990234375,74.16000366210938,263.2099914550781,97.5999984741211
2025-04-01,564.0599975585938,79.08999633789062,271.989990234375,91.62000274658205
2025-05-01,572.0999755859375,79.48999786376953,277.9700012207031,94.3499984741211
2025-06-01,589.27001953125,79.98999786376953,286.510009765625,102.47000122070312
2025-07-01,577.0599975585938,82.19999694824219,279.260009765625,106.9000015258789
2025-08-01,554.989990234375,85.33999633789062,276.0599975585937,113.58000183105467
2025-09-01,563.3900146484375,95.8499984741211,277.5199890136719,136.07000732421875
2025-10-01,597.3900146484375,100.0199966430664,291.0799865722656,142.47000122070312
2025-11-01,616.3699951171875,104.62000274658205,296.489990234375,156.77000427246094
2025-12-01,615.1799926757812,110.11000061035156,295.3099975585937,215.42999267578125
2026-01-01,613.5800170898438,116.76000213623048,291.8699951171875,243.3500061035156
